"";"GSM3688814_p.15.06.2016_01_AS6.ga.cel";"GSM3688815_p.15.06.2016_02_AS2.ga.cel";"GSM3688816_p.15.06.2016_03_AS3.ga.cel";"GSM3688817_p.15.06.2016_04_AS5.ga.cel";"GSM3688818_p.15.06.2016_14_AS7.ga.cel";"GSM3688819_p.15.06.2016_05_S15.ga.cel";"GSM3688820_p.15.06.2016_07_S10.ga.cel";"GSM3688821_p.15.06.2016_09_S29.ga.cel";"P.Value";"adj.P.Val";"B"
"17062985";6,94785682102622;7,97471264689446;7,18072894198023;7,58667043309229;6,9740354529785;6,20923941627459;6,9740354529785;6,97679549056331;0,0487502954664746;0,343424698047444;-4,14894178607113
"17063005";5,43639853654059;4,87994615067746;5,35293747574925;5,26188649945902;4,94449690145242;6,65454506510985;6,06418571247604;6,05501603127598;0,000769359181367404;0,0912609775845016;-0,369817785481655
"17063047";8,24489423601552;7,79157070506538;7,82987632551254;7,88186189413035;7,42685083206026;8,36552924709657;9,1916891642845;7,49331909085707;0,22356506081378;0,503810705303953;-5,39595082572252
"17063071";5,48264949268419;4,6534076317005;5,99068693950064;5,26567102330295;5,58420361349431;4,73679833542131;5,05722201127831;6,03600817939552;0,26365720708947;0,534412368347259;-5,5168496115225
"17063073";7,64905063807162;7,03396024320695;7,09565306760134;7,56575350713449;6,16992209470968;7,12874269224497;8,00267630646686;6,60791365310838;0,704479879825029;0,846937569321199;-6,09450679591512
"17063092";5,44957967928454;5,16666164980196;5,66174547559824;4,37686719641671;5,40777181276773;4,96241127467514;4,32724540831696;4,69091759226929;0,161551707569202;0,447474388593828;-5,14687194182673
"17063100";7,83208036243373;7,2904469056116;7,42639947286832;7,19691143515482;7,05016646178789;8,25217428689554;9,17364177778817;7,28228616663523;0,0638654083945776;0,363349717368811;-4,38163366005395
"17063221";7,26074140002626;6,68466409598427;6,80194783722056;6,88262660349974;5,70325101326445;7,87027524364338;9,65745926844114;7,32449022671265;0,0038158347879757;0,172213634673489;-1,85182816911909
"17063311";8,83133700754934;7,60928147301302;8,39604153321223;8,32901951494747;7,83651497241988;8,56631502516964;9,14946737490857;8,25805463022994;0,153358299723015;0,440855671470174;-5,10583095906383
"17063364";3,6588507734929;6,45224019851409;3,4347876418536;8,25157609962974;3,67824157659201;4,53082366581482;3,81726219559661;3,84287428457592;0,127280865584393;0,424308152110577;-4,95669219503546
"17063418";7,19754859426792;7,31239990462117;7,22654974194399;7,79909319143805;7,34349962639758;6,89837402359282;6,61912714618842;7,25070392959252;0,34032158677287;0,595271492149359;-5,69440025353229
"17063428";8,01734892694929;7,43615555753994;7,76601392980648;7,73562847370203;7,32725827062675;8,24360485046337;9,18425367075151;8,01734892694929;0,0273569230180125;0,320870726768597;-3,64125680821711
"17063452";5,5949457699718;4,78242728404252;6,29806657129438;5,28889256581584;4,88880853166688;4,52980094134155;4,8420584796202;4,5158176662714;0,264381952742444;0,534563434058372;-5,51882440038981
"17063480";5,73855408703058;5,56705300653354;5,72115038537329;5,22690676598992;4,88903247800853;6,47642488002674;7,12551569329934;6,06253339672899;0,0114073837370373;0,258177037820297;-2,85465992064217
